city_town,ward,precinct,Biden_20,Trump_20,Clinton_16,Trump_16
Abington,-,1,1037,764,818,717
Abington,-,2,944.6119235095612,824.5674915635545,727.1543869516311,772.4170416197975
Abington,-,3,1020.755133346626,903.0044147909604,825.1758806068974,860.9592125608045
Abington,-,4,1065.6329431438128,862.428093645485,836.6697324414715,837.623745819398
Abington,-,5,1141,882,908,829
Acton,-,1,1330.8850037148968,335.1951228932847,1100.6254603250702,331.28414495970134
Acton,-,2,1626.4889341134572,375.1472907657085,1318.5448995166623,408.3235817858051
Acton,-,3,1834,388,1580,435
Acton,-,4,1738.1870681145117,352.5528134254689,1419.5335636722607,350.857847976308
Acton,-,5,1715.2379318854887,356.20432943167395,1423.537864899168,349.24572345226346
Acton,-,6,1033.468393759843,231.7183845247909,851.0911073124475,238.76704589516837
Acton,-,6A,460.4205311345072,103.23286355027739,379.16962147921595,106.3731128617533
Acton,-,7,1366.312137277296,328.94919540879573,1125.4974827951753,335.14854306900054
Acushnet,-,1,864.2946679292775,1016.6208994871668,787.4536347201554,877.9102578923419
Acushnet,-,2,780.0150799058408,957.2453830810708,664.2289690358265,840.3256610985044
Acushnet,-,2A,99.48665618391927,122.09141177338086,84.71877117791553,107.17894087166039
Acushnet,-,3,917,1190,862,1005
Adams,-,1,523.7103620474406,251.4207240948814,436.2596754057428,253.40823970037457
Adams,-,2,591.8232502965599,300.6085409252669,490.08659549228946,277.94780545670227
Adams,-,3,583.1767497034401,314.39145907473306,460.91340450771054,260.05219454329773
Adams,-,4,512,269,446,233
Adams,-,5,683.2896379525592,292.5792759051186,579.7403245942572,260.5917602996255
Agawam,-,1,825,922,631,827
Agawam,-,2,1034.542905471655,1115.1234479102511,844.2617828423207,1058.64131537378
Agawam,-,3,954.2372442372442,971.977466977467,718.9458689458689,859.933954933955
Agawam,-,4,857.2975338106603,844.8289578361178,707.0779634049323,732.204189870061
Agawam,-,5,1121.7024661893397,1065.1710421638822,853.9220365950677,989.795810129939
Agawam,-,6,902.439391650453,923.468957835604,757.9541343866005,854.9919497302059
Agawam,-,7,1042.4412709348298,1213.7520262887522,860.0207055924985,1122.3831092705111
Agawam,-,8,1056.3391877058175,1016.6781009879254,834.8175082327114,976.0496706915478
Alford,-,1,271,50,226,52
Amesbury,-,1,1234.4852379298368,656.6050712052796,949.6748871135812,633.1563042723168
Amesbury,-,2,1165,502,901,503
Amesbury,-,3,1236.4930555555557,533.6736111111111,999.1319444444443,522.4027777777778
Amesbury,-,4,969.3427701921688,488.3133849877185,791.2988097818235,500.638509608438
Amesbury,-,5,1127.1641742522756,707.0130039011704,719.5692457737321,651.9587126137841
Amesbury,-,6,1053.5147620701632,438.3949287947204,813.3251128864189,419.8436957276832
Amherst,-,1A,965.0466795543924,67.63702887540009,990.618794467294,104.08975995948056
Amherst,-,1B,550.2640274727387,49.411392459515056,940.7042928036232,125.57667230187964
Amherst,-,2A,1128.309405983888,103.4205262900576,1306.6820578732006,128.01344190003647
Amherst,-,2B,1618.1938797741452,138.36909794297955,1534.674314175225,142.57582804301646
Amherst,-,3A,571.1497754347123,40.66831777746288,1039.239787704974,171.43548454651665
Amherst,-,3B,1534.8520310037431,148.7143850965327,1438.6699172576832,131.13827509357762
Amherst,-,4A,843.311294009738,54.65575190605633,1169.564193376641,88.47237303354203
Amherst,-,4B,392.2001176483756,23.874057002126793,900.1667413891884,116.20350613699624
Amherst,-,5A,1048.9897985003208,92.03825825370645,1113.4403411327576,91.01303687716648
Amherst,-,5B,2065.682990617946,154.21118439616254,1923.239559819413,149.4816221077878
Andover,-,1,1098.8756080611536,384.8485059068798,888.2981236970119,349.3488533703961
Andover,-,10,1453.1124273411904,686.9771396699468,1110.4063643768611,702.123207064124
Andover,-,2,1473.269169288823,721.8625419024256,1127.3590637239388,740.4155390219172
Andover,-,3,1708.456975534096,689.2452857537892,1467.9558471716173,678.2158618352901
Andover,-,4,727.5251276542294,370.8916520187062,537.1762782390794,374.5903196446091
Andover,-,4A,620.5138952601822,316.3374225377842,458.1633433421669,319.49205537255904
Andover,-,5,1434.8831734960766,757.4810374891019,1027.134481255449,619.3857890148213
Andover,-,6,1438.6161799457486,728.5835427401687,1057.8374171803823,716.5499204261456
Andover,-,7,1210.5644526122342,573.8829088999737,946.81018640063,529.4407981097401
Andover,-,8,1633.8651841556637,689.1598332175122,1303.7588603196664,695.1304146397962
Andover,-,9,1351.3178066506025,619.7301298637115,1035.1000342931968,627.3072415006013
Aquinnah,-,1,311,34,232,34
Arlington,-,1,885,154,802,173
Arlington,-,10,1234.6239395729383,173.5432331063309,1121.56437611429,174.8597228930156
Arlington,-,11,1182.0573932180828,325.43194638376394,1004.8515157750254,359.77753053700354
Arlington,-,12,1300,223,1122,229
Arlington,-,13,1051.0288913074585,316.96080182809175,889.157980773817,319.42883840727075
Arlington,-,14,1116,189,930,201
Arlington,-,15,1111.84005701245,245.04703163832008,938.2533684565084,264.0924997302403
Arlington,-,16,1120.864768683274,213.3790035587189,956.387900355872,209.9199288256228
Arlington,-,17,999.8291311013418,175.34272409607422,856.1358094593758,184.26147808956037
Arlington,-,18,1078.6476868327402,295.66503558718864,922.6290035587188,311.07428825622776
Arlington,-,19,1145,233,1003,268
Arlington,-,2,1182.2528735632184,213.51724137931035,1016.183908045977,229.33333333333337
Arlington,-,20,1100,196,1014,225
Arlington,-,21,1106.7126725219573,150.1279799247177,961.396486825596,153.0150564617315
Arlington,-,3,1223,137,1049,169
Arlington,-,4,1112,169,1022,195
Arlington,-,5,1149.041162443686,225.70249570290417,958.0121039571496,240.09159805933683
Arlington,-,6,1084,173,946,178
Arlington,-,7,1124.5566258646138,184.66507324324257,971.6468765429848,195.42786987598848
Arlington,-,8,1292.3760604270617,178.4567668936691,1176.43562388571,170.1402771069844
Arlington,-,9,1054.9340665304096,205.7219471828856,863.5458582095428,198.90512883886825
Ashburnham,-,1,1003.2668250197942,823.8649247822644,711.1827395091053,752.2030087094221
Ashburnham,-,2,1026.7331749802058,843.1350752177356,727.8172604908948,769.796991290578
Ashby,-,1,956,1008,722,974
Ashfield,-,1,993,180,836,184
Ashland,-,1,1246.37341648374,506.9534408578879,993.0356415390792,474.4280568213099
Ashland,-,2,1241.9978827705436,492.8554500332036,970.484213247596,480.4988419485145
Ashland,-,3,1067.0211995863497,460.8474663908997,885.1690796277146,439.08738366080667
Ashland,-,4,1133.8835049293723,478.90332521273734,949.494556935077,476.1235940855398
Ashland,-,5,1262.6909232263165,486.9226640083676,919.9233156984592,435.1469533933469
Ashland,-,6,1356.033073003678,509.5176534969038,965.8931929520738,462.7151700904823
Athol,-,1,951.5894245833928,911.5966661240768,731.8850194315015,858.1476254908744
Athol,-,2,816.3378026275026,883.7482582777459,613.8885419495314,772.4330147484285
Athol,-,3,937.0727727891048,783.6550755981773,730.2264386189671,704.4193597606971
Attleboro,1,A,1046.2672218016653,830.303810244764,790.288670199344,789.4991168306839
Attleboro,1,B,1032.4295886978791,775.10477821448,755.0174849911365,725.1486261858204
Attleboro,2,A,1144.6175155722894,802.0142106038734,878.3033719500258,756.8489240033925
Attleboro,2,B,1126.854392054595,830.6422936654627,844.6129161720562,768.1497736156156
Attleboro,3,A,1209.6344810980015,713.8360221526608,884.4741150975199,616.1931134119914
Attleboro,3,B,1242,758,949,694
Attleboro,4,A,1130.707899608845,604.263526664272,884.1389214412378,553.1303618186499
Attleboro,4,B,1377.508281440681,1049.2511056444002,1018.7116539639152,962.4403825890628
Attleboro,5,A,912.0971992550692,488.08164741510745,771.026810735436,451.47611692648906
Attleboro,5,B,1172.4097621047656,757.7163438516607,938.3671292561352,691.256635192016
Attleboro,6,A,1058.4821599602576,806.912457079982,826.7719973940439,766.2081715304233
Attleboro,6,B,1207.991498405951,855.8738044633369,977.2869287991498,796.6487778958555
Auburn,-,1,1107.757168460061,865.7480746299562,883.0808448350957,794.890597710834
